LOCATION,LATITUDE,LONGITUDE
Biaka residence,4.157343,9.26036
Phos Pharmacy,4.15707,9.26062
DR. Solimon clinic,4.1566,9.26062
Reginal Human right center,4.15627,9.26098
Biaka residence junction,4.15551,9.26098
The people foundaton clinic,4.15545,9.26141
Biaka residence entrance,4.15529,9.26174
Congeni,4.15626,9.26469
Classic pressing,4.15679,9.26483
Nabex junction,4.15692,9.26559
Mini koket,4.15703,9.26559
Boudouma gate,4.15765,9.26809
pPremier bet,4.15789,9.2685
JB Legacy pharmacy,4.15824,9.27006
Bena bakery,4.15863,9.27192
 Santa babara junction,4.15873,9.27322
GCE board,4.15942,9.27577
Lyce,4.15948,9.2775
Molyko stadium,4.15915,9.28024
Mayor street entrance,4.15925,9.28094
skyline complex,4.15972,9.28307
HIUB entrance,4.15995,9.28402
HUIB University [Campus B],4.16246,9.28367
